,Unnamed: 0,UN,Riddle,Answer,BOFs containing riddle,Number of times used,Dish,Notes,Hints,BOF_Appearance_Number
102,102,UR_103,Sorrowful Apples with Bad Wives Around Them,Pineapple-?,BOF_6; BOF_7; CW0124558740; Z2001239391; CW0114771776; BOF_10; BOF_15; BOF_16; BOF_17; BOF_18; BOF_19; ,,Dessert,,,11.0
103,103,UR_104,A Mischievous Animal or Vowel and what is Given to Physicians,,BOF_6; ,,Drinks,,,1.0
104,104,UR_105,A Door Keeper,,BOF_6; ,,Drinks,,,1.0
105,105,UR_106,A Snare,,BOF_6; ,,Drinks,,,1.0
106,106,UR_107,Half a Large Glass,,BOF_6; ,,Drinks,,,1.0
107,107,UR_108,Removed for a Soldier's Staff,Pike (type of fish),BOF_7; Z2001239391; BOF_10; BOF_15; BOF_17; ,,Main / Second / Vegetables,,,5.0
108,108,UR_109,Move Jack,Sturgeon (Stir John),BOF_7; CW0124558740; Z2001239391; CW0114771776; BOF_10; BOF_11; BOF_15; BOF_16; BOF_17; BOF_18; BOF_19; ,,Main / Second / Vegetables,,,11.0
109,109,UR_110,Cow's Provender with Half Gooseberrys,,BOF_7; CW0124558740; Z2001239391; CW0114771776; BOF_10; BOF_15; BOF_16; BOF_17; BOF_18; BOF_19; ,,Dessert,,,10.0
110,110,UR_111,The Reward of a Soldier in Cream,,BOF_7; CW0124558740; Z2001239391; CW0114771776; BOF_10; BOF_15; BOF_16; BOF_17; BOF_18; BOF_19; ,,Dessert,,,10.0
111,111,UR_112,The Joke of a Puppet Show Made with Torture,?-whip?,BOF_7; CW0124558740; Z2001239391; CW0114771776; BOF_10; BOF_15; BOF_16; BOF_17; BOF_18; ,,Drinks,,,9.0
112,112,UR_113,A Bottle of Hill-Top,Mountain,BOF_7; U0108582201; CW0124558740; Z2001239391; CW0114771776; BOF_10; BOF_15; BOF_16; BOF_17; BOF_18; BOF_19; ,,Drinks,,,11.0
113,113,UR_114,A Bottle of Bag,Sack?,BOF_7; CW0124558740; Z2001239391; CW0114771776; BOF_10; BOF_15; BOF_16; BOF_17; BOF_18; BOF_19; ,,Drinks,,,10.0
114,114,UR_115,A Bottle of Torbay,Port,BOF_7; CW0124558740; Z2001239391; CW0114771776; BOF_10; BOF_15; BOF_16; BOF_17; BOF_19; ,,Drinks,,,9.0
115,115,UR_116,A Side of Grace-Cup of Lamentable Clothing,,BOF_7; CW0124558740; Z2001239391; CW0114771776; BOF_10; BOF_15; BOF_16; BOF_17; BOF_18; ,,Drinks,,,9.0
116,116,UR_117,The (first) Ruin of Man (for a Sauce),Apple? / Apple Sauce?,Y3202620781; U0108582201; CKUEYG670970773; DX1901678851; BB3206029243; HJVZYZ447202786; CEMMIP364981254; CEMMIP364981254; BOF_8; ,,Main / Second / Vegetables,,,9.0
117,117,UR_118,"A Large Vessel, and to Transgress, Changing a Letter",,Y3202620781,,Main / Second / Vegetables,,,1.0
118,118,UR_119,"A kitchen utensil, the foundation of learning / a vowel and part of the foot",Potatoes,Y3202620781; BOF_12; ,,Main / Second / Vegetables,Technically the same as UR_13,,2.0
119,119,UR_120,The Fruit / Food of Israel (Garnished with Perpetual Motion),,Y3202620781; DX1901678851,,,,,2.0
120,120,UR_121,"The Sixteenth Letter, and Everyone / each",Peach,Y3202620781; DX1901678851; BB3206029243;  ,,,,,4.0
121,121,UR_122,The Stalk of Wheat and (What is seen in the Hedges | a Wild Fruit | the autumnal beauty of the woods),something(husk?)-berries,Y3202620781; U0108582201; DX1901678851; BB3206029243; CEMMIP364981254; ,,,,,5.0
122,122,UR_123,Sauce of Little Creatures,,U0108582201; DX1901678851; BB3206029243; CEMMIP364981254; Y3200665511; BOF_8; ,,Main / Second / Vegetables,,,6.0
123,123,UR_124,Imitation (Reptile) Soup ,Mock Turtle Soup,U0108582201; GT3016100102; DX1901678851; BB3206029243; CEMMIP364981254; GT3003085809; Y3200665511; BOF_8; ,,Main / Second / Vegetables,,,8.0
124,124,UR_125,A Young Simpleton,,U0108582201; BB3206029243; CEMMIP364981254; Y3200665511; BOF_8; ,,Main / Second / Vegetables,,,5.0
125,125,UR_126,Sauce of Soft Grease,,U0108582201; DX1901678851; BB3206029243; CEMMIP364981254; Y3200665511; BOF_8; ,,Main / Second / Vegetables,,,6.0
126,126,UR_127,The Most Becoming Head-Dress,Hare? (Hair),U0108582201; CEMMIP364981254; ,,Main / Second / Vegetables,,,2.0
127,127,UR_128,"To Grieve, and the Origin of Grief",,U0108582201; DX1901678851; BB3206029243; CEMMIP364981254; ,,Dessert,,,4.0
128,128,UR_129,"A Material Part of a House, and what Grows in Hedges / in the Woods",,U0108582201; BB3206029243; CEMMIP364981254; ,,Dessert,,,3.0
129,129,UR_130,A Cell,,U0108582201; BB3206029243; CEMMIP364981254; ,,Drinks,,,3.0
130,130,UR_131,"(The Produce of a Useful Animal, and) an Amusing Periodical",Punch?,U0108582201; CEMMIP364981254; BOF_12; ,,Drinks,,,3.0
131,131,UR_132,A Long Tree,,U0108582201; CEMMIP364981254; ,,Drinks,This should be distinct from UR_33,,2.0
132,132,UR_133,A Foreign Country,Turkey?,U0108582201; DX1901678851; GT3012297379; BB3206029243; CEMMIP364981254; Y3200665511; BOF_8; ,,,,,7.0
133,133,UR_134,A Well-Powdered Head,,U0108582201; DX1901678851; BB3206029243; CEMMIP364981254; Y3200665511; BOF_8; ,,,,,6.0
134,134,UR_135,Roots of Israel,,U0108582201; BB3206029243; CEMMIP364981254; Y3200665511; BOF_8; ,,,Unsure if this is identical to UR_120,,5.0
135,135,UR_136,Stewed Upstarts,,U0108582201; DX1901678851; BB3206029243; CEMMIP364981254; Y3200665511; BOF_8; ,,,,,6.0
136,136,UR_137,The Capital of a Forgien Country,Lisbon?,U0108582201; BB3206029243; CEMMIP364981254; ,,Drinks,I believe that this is technically the same as UR_37,,3.0
137,137,UR_138,Useful Birds,,U0108582201; DX1901678851; BB3206029243; CEMMIP364981254; Y3200665511; BOF_8; ,,,,,6.0
138,138,UR_139,"A Female Employment, and a Constant Follower of Man",,U0108582201; DX1901678851; BB3206029243; CEMMIP364981254; Y3200665511; BOF_8; ,,,,,6.0
139,139,UR_140,Some Sweet Warblors,,U0108582201; DX1901678851; CEMMIP364981254; Y3200665511; BOF_8; ,,,,,5.0
140,140,UR_141,"A Stop in Music, and Wild Bird's Delight",,U0108582201; DX1901678851; BB3206029243; CEMMIP364981254; ,,,,,4.0
141,141,UR_142,A Portuguese Island,Madeira,U0108582201; BB3206029243; CEMMIP364981254; ,,,Technically the same as UR_38,,3.0
142,142,UR_143,The Largest Part of Sambo's Feet,Sole,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Fish,2.0
143,143,UR_144,What the Ram said to Harry,Halibut,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Fish,2.0
144,144,UR_145,An Express Label,Cod,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Fish,2.0
145,145,UR_146,A Universal Crown,Hare,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Game,2.0
146,146,UR_147,To Shrink from Danger,Quail,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Game,2.0
147,147,UR_148,Little Darlings,Deer,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Game,2.0
148,148,UR_149,A Genial English Author,Lamb,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Roast Meat,2.0
149,149,UR_150,The Country of the Crescent,Turkey?,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Roast Meat,2.0
150,150,UR_151,Adam's Wife in her Vigin State,Spare-Rib,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,Technically the same as UR_6,,2.0
151,151,UR_152,One of Noah's Sons,Ham,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,,2.0
152,152,UR_153,Woman's Best Weapon,Tongue,GT3016100102; GT3003085809; BOF_12; ,,Main / Second / Vegetables,Technically the same as UR_7,,3.0
153,153,UR_154,To Steal Mildly,Cabbage,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Vegetables,2.0
154,154,UR_155,Complete Upsets,Turnips,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Vegetables,2.0
155,155,UR_156,What Successful Candidates do this Fall,Beet,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Vegetables,2.0
156,156,UR_157,Two Kinds of Toes not Found on Man or Beast,Potatoes and Tomatoes,GT3016100102; GT3003085809; ,,Main / Second / Vegetables,,Vegetables,2.0
157,157,UR_158,Pertaining to Regions Underground,Celery (Cell - adjective?),GT3016100102; GT3003085809; ,,,,Relishes,2.0
158,158,UR_159,Elevated Felines,Catsup,GT3016100102; GT3003085809; ,,,,Relishes,2.0
159,159,UR_160,Comical Performances,Pickles,GT3016100102; GT3003085809; ,,,,Relishes,2.0
160,160,UR_161,Ludicrous Situations,Capers,GT3016100102; GT3003085809; ,,,,Relishes,2.0
161,161,UR_162,What we would Say to Importunate Agents,Sago Pudding (Say Go),GT3016100102; GT3003085809; ,,,,Pudding,2.0
162,162,UR_163,Exactly Perpendicular,Plum Pudding (plumb = perpendicular),GT3016100102; GT3003085809; ,,,,Pudding,2.0
163,163,UR_164,The Mantle of Winter,Snow Pudding,GT3016100102; GT3003085809; ,,,,Pudding,2.0
164,164,UR_165,What we do not Like to Say to our Creditors,Suet,GT3016100102; GT3003085809; ,,,,Pudding,2.0
165,165,UR_166,To Walk in an Affected Manner,Mince,GT3016100102; GT3003085809; ,,,,Pie,2.0
166,166,UR_167,Closely Related to the Rural Reservoir,Pumpkin (Pump-kin),GT3016100102; GT3003085809; ,,,,Pie,2.0
167,167,UR_168,The Historian's Delight,Dates,GT3016100102; GT3003085809; ,,,,Fruits,2.0
168,168,UR_169,Water in Motion,Currants,GT3016100102; GT3003085809; ,,,Technically the same as UR_30,Fruits,2.0
169,169,UR_170,Small Shot (plural),Grapes,GT3016100102; GT3003085809; ,,,,Fruits,2.0
170,170,UR_171,Happy Lovers,Pears,GT3016100102; GT3003085809; ,,,Technically the same as UR_21 and UR_93,Fruits,2.0
171,171,UR_172,The Lover's Address to his Sweetheart,Madeira (my-dear),GT3016100102; GT3003085809; ,,Drinks,,Wines and Liquors,2.0
172,172,UR_173,The Traveler's Haven,Port,GT3016100102; GT3003085809; ,,Drinks,,Wines and Liquors,2.0
173,173,UR_174,A Couch of Death,Beer (Bier),GT3016100102; GT3003085809; ,,Drinks,,Wines and Liquors,2.0
174,174,UR_175,The Briton's Address to his Queen,Ale,GT3016100102; GT3003085809; ,,Drinks,,Wines and Liquors,2.0
175,175,UR_176,A Horse's Toilet,Curry,CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
176,176,UR_177,What Furnishes the Best Conversation,Tongue of Brains (?),CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
177,177,UR_178,A Stupid Man's Cry for Mercy,Asparagus (O spare a goose),CKUEYG670970773; HJVZYZ447202786,,Main / Second / Vegetables,Answer Provided by Source,,2.0
178,178,UR_179,"A Street in Camden Town Boiled, and Something Immaterial Fried","Brill, Plaice, and Soles",CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
179,179,UR_180,A Pattern Husband Roast,Lamb Roasted,CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
180,180,UR_181,Woman's Glory (Soup),Hare,CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
181,181,UR_182,Short Sarah and her young brother,Sallad (Sal-lad),CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
182,182,UR_183,Some Young Females,Patties,CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
183,183,UR_184,Dialogue Between the Kettle and the Cat,Bubble and Squeak,CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
184,184,UR_185,Winter's Sport and a Weapon of War,Skate and Pike,CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
185,185,UR_186,Removed for a Dish which Reminds a Cocknet of a Carriage Rut,A Loin of Veal (Line o' wheet),CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
186,186,UR_187,Attendants on Royalty,Maids of Honour,CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
187,187,UR_188,Practical Jokes and Cries,Larks and Quails,CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
188,188,UR_189,Something Superior to Undeserved Commendation,Pudding (Solid pudding is better than empty praise),CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
189,189,UR_190,An Old-fashioned Dandy,Macaroni,CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
190,190,UR_191,Physic Snappish,Rhubarb Tart,CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
191,191,UR_192,An Eastern Country / Our Ally (Stuffed and Roasted),Turkey,CKUEYG670970773; HJVZYZ447202786; ,,Main / Second / Vegetables,Answer Provided by Source,,2.0
192,192,UR_193,"A Mineral, and the Best Part of a Jest",Ice Cream,CKUEYG670970773; HJVZYZ447202786; ,,Dessert,Answer Provided by Source,,2.0
193,193,UR_194,Nothing Like Them,Nonpareils,CKUEYG670970773; HJVZYZ447202786; ,,Dessert,Answer Provided by Source,,2.0
194,194,UR_195,What an Informer Does to his Friends,"Peaches (From Colins Dictionary: (intr except in obsolete uses) slang
to inform against an accomplice)",CKUEYG670970773; HJVZYZ447202786; ,,Dessert,Answer Provided by Source,,2.0
195,195,UR_196,Mischief-Makers,Medlars Fruit,CKUEYG670970773; HJVZYZ447202786; ,,Dessert,Answer Provided by Source,,2.0
196,196,UR_197,The Capital of Tuscany,Florence,CKUEYG670970773; HJVZYZ447202786; ,,Drinks,Answer Provided by Source,,2.0
197,197,UR_198,Dwelling of a Recluse / Country Recluse,Hermitage,CKUEYG670970773; HJVZYZ447202786; BOF_14; ,,Drinks,Answer Provided by Source,,3.0
198,198,UR_199,The Attack of a Town,Jack,CKUEYG670970773; HJVZYZ447202786; ,,Drinks,Answer Provided by Source,,2.0
199,199,UR_200,A High Hill,Mountain,CKUEYG670970773; BB3206029243; HJVZYZ447202786; CEMMIP364981254; BOF_14; ,,Drinks,Answer Provided by Source,,5.0
200,200,UR_201,Station for Ships,Port,CKUEYG670970773; HJVZYZ447202786; ,,Drinks,Answer Provided by Source,,2.0
201,201,UR_202,A Season of Wildness,Madeira,CKUEYG670970773; HJVZYZ447202786; ,,Drinks,Interesting variation of UR_31 and UR_77; Answer Provided by Source,,2.0
202,202,UR_203,Great Riches-Interferers,Medlars Fruit?,DX1901678851,,Dessert,,,1.0
203,203,UR_204,"A Substatial Thing, with What Grows in the Woods",,DX1901678851,,Dessert,,,1.0
204,204,UR_205,A Silly Bird and the Autumnal Ornament of Trees,Goose-berry?,DX1901678851,,,Interesting variation of UR_25,,1.0
205,205,UR_206,What a Gambler Risks,,GT3012297379,,,,,1.0
206,206,UR_207,The Cursed Son,Ham,GT3012297379,,,,,1.0
207,207,UR_208,An American General and Four-tenths of a British General's Name,,GT3012297379,,,,,1.0
208,208,UR_209,The Destroyer of our Race,,GT3012297379,,,,,1.0
209,209,UR_210,A Letter of the Alphabet,Pea? Eye? Tea?,GT3012297379,,,,,1.0
210,210,UR_211,Resting Place for a Bird,,GT3012297379,,,,,1.0
211,211,UR_212,A Color,Orange?,GT3012297379,,,,,1.0
212,212,UR_213,An Emblem of Innocence,,GT3012297379,,,,,1.0
213,213,UR_214,What a French Town is Noted For,,GT3012297379,,,,,1.0
214,214,UR_215,A Bottle of Hyp,,Z2001239391; CW0114771776; BOF_10; BOF_15; BOF_16; BOF_17; BOF_18; ,,,,,7.0
215,215,UR_216,A Neighbouring State,Scotch?,BB3206029243,,,,,1.0
216,216,UR_217,Portion of a mountain range,,GT3003085809; ,,Main / Second / Vegetables,,Game,1.0
217,217,UR_218,The Interior of a Sportsman,,BOF_11; ,,,,,1.0
218,218,UR_219,A Female United to a Male,,BOF_11; ,,,,,1.0
219,219,UR_220,An Act of Industry and what Occasions Wrinkles,,BOF_11; ,,,,,1.0
220,220,UR_221,A Baronet,Sir Loin,BOF_11; ,,,,,1.0
221,221,UR_222,A Part of your Shoes Stewed,Sole?,BOF_11; ,,,,,1.0
222,222,UR_223,What Adam gave to Eve,Spare-Rib,BOF_11; ,,,,,1.0
223,223,UR_224,Henry and what Denotes Partnerships,,BOF_11; ,,,,,1.0
224,224,UR_225,One of the Twelve Tribes of Israel,Gad? (Goat),BOF_11; ,,,,,1.0
225,225,UR_226,What is found in beds joined to Martha,,BOF_11; ,,,,,1.0
226,226,UR_227,A Barren Waste and a Sportsman's Delight,,BOF_11; ,,,,,1.0
227,227,UR_228,Russian Apples Sour,,BOF_11; ,,,,,1.0
228,228,UR_229,A Beau,,BOF_11; ,,,,,1.0
229,229,UR_230,What Idle People Do,Lark / Loaf,BOF_11; ,,,,,1.0
230,230,UR_231,Satan,,BOF_11; ,,,,,1.0
231,231,UR_232,Two Tailors,Parsnips,BOF_12; ,,Main / Second / Vegetables,Answer Provided by Source,,1.0
232,232,UR_233,An Exquisite and the King of Beasts,Dandylion (dandy-lion),BOF_12; ,,Main / Second / Vegetables,Answer Provided by Source,,1.0
233,233,UR_234,A Famous English Wit,Lamb,BOF_12; ,,Main / Second / Vegetables,Answer Provided by Source,,1.0
234,234,UR_235,A Place Where Money is Made and Impudence,Mint-Sauce,BOF_12; ,,Main / Second / Vegetables,Answer Provided by Source,,1.0
235,235,UR_236,"A Biped, and to Depart",Mangoes,BOF_12; ,,Main / Second / Vegetables,Answer Provided by Source,,1.0
236,236,UR_237,A Biped from Noah's Ark,Ham,BOF_12; ,,Main / Second / Vegetables,Answer Provided by Source,,1.0
237,237,UR_238,A Cold Substance and the Best of Everything,Ice Cream,BOF_12; ,,Dessert,Answer Provided by Source,,1.0
238,238,UR_239,A Cure for Lazy Horses,Whips,BOF_12; ,,Dessert,Answer Provided by Source,,1.0
239,239,UR_240,Part of a River in Pennsylvania,Brandy,BOF_12; ,,Dessert,Answer Provided by Source,,1.0
240,240,UR_241,The Joint of an Animal,Hock,BOF_12; ,,Dessert,Answer Provided by Source,,1.0
241,241,UR_242,"One-Third of Two, and a Firelock",Trifle,BOF_12; ,,Dessert,Answer Provided by Source,,1.0
242,242,UR_243,Annual Stipend,,BOF_14,,Main / Second / Vegetables,,,1.0
243,243,UR_244,Animal and vegetable,,BOF_14,,main / Second / Vegetables,,,1.0
244,244,UR_245,Ghosts,Sole?,BOF_14,,Drinks,,,1.0
245,245,UR_246,Motives,,BOF_14,,Dessert,,,1.0
246,246,UR_247,Capital of Portugal,P - Pea (Soup),GT3003085809; GT3016100102; ,,,,,2.0
247,247,UR_248,,,,,,,,1.0
248,248,UR_249,,,,,,,,1.0
249,249,UR_250,,,,,,,,1.0
250,250,UR_251,,,,,,,,1.0
