,'File' Attachments,Archive,Attendance,Contains_BOF,Date,Edition,Event_Date,Event_Location,Issue,Location,Newspaper,Notes,Organization_Hosting,Persons,Place Published,Price_Event,Record Number,Reference Type,Reporter,Revenue,Short Title,Title,Unique_Reference_Number,Year,MENU,Coordinates,Citation
0,,McGill Library RBSC ,,y,Ov,,1870,England,,McGill Library,Bill of Fare for a Dinner,,,,"Hooton Pagnell Hall, Doncaster, South Yorkshire, England",,BOF_1,,,,,Bill of Fare for a Dinner / The Chapman Menu,,,"Bill of Fare for a dinner 
(Title of another section here, Maybe ÒSoupÓ? May start with an T or F) 
A Dutch Prince
A musical instrument 
M___(?) folks(?)
The drink of the Gods and the shell of a melon(?) 
An island in the northern ocean 
Color---(?) and the seat of affliction
Four(?) hundreds of thousands in Farls(?) 
Busy ___(?) 
A domestic fowl and the produce of the Hedge
A game an ___(?) Mol---(?) 
A defense & nuts(?) 

Meats
The seat of life
A TaylorÕs iron
A Blockhead
A thing of no consequence 
A lean wife 
The Grand SeigniorÕs dominion 
The ornamental part of the head 
An unruly member 
A sign of the Zodiac 
A ____(?) widower(?) and the staff (stuff?) of life 
A É Vegetables(?)
Equal in number & odd ends 
An iron vessel(?) and eight cyphers(?) 
A TaylorÕs plunder 
The work of a spider and long life


Drink
A province in France 
The sailorÕs habitation
Counterfeit agony 
A town of Portugal 
A soldierÕs desire
Islands in the Atlantic Ocean 


",,McGill RBSC
1,,Bodleian library,,y,MISSING,,MISSING,England,,Bodleian Library,The Enigmatical Dinner,,,,England,,BOF_2,,,,,The Enigmatical Dinner,,,"The Enigmatical Dinner:

Left Column:
The SailorÕs Desire
The opposite to Nature, a vowel and suffocation
One of the Signs of the Zodiac
The first Temptation and a gust of wind
A TailorÕs Plunder
An Island in the Atlantic Ocean

Middle Column:
A celebrated Singer
A Blockhead hashed(?)
An unruly member
Acids
Sham(?) Fish
A thing of no consequence
The Grand Dominion
The Ornament of the Head
The Immortal part of a Man

Right Column:
A SoldierÕs Habitation
Two letters
A lean wife
Part of a GirlÕs name and a Boy
A Chamber, ????? utensil an ????? and part of the human body
Part of a c???? and a harbour for shipping",,Bodleian Library
2,,UCLA Clark,,y,Missing Exact Date,,1780,England,,UCLA Clark,Pleasing Variety for Miss Mary Arnold,,,,England,,BOF_3,,,,,An Invitation to an Entertainment with the Bill of Fare,,,"An Invitation to an Entertainment with the Bill of Fare 

Be pleasÕd on AdamÕs mule to come 
And dine with IÕll be at home 
A pour liquor shall be ten to one 
The last part of the wound of Gun
Or to severity the treat
A drink no few [?] Contradictions meet
Some Creatures that can undermine 
Will serve you very well to dine
A joint you never before have found 
A dish meet yet above the ground
Some animals whose bortes [?] are seen 
Where other Creatures, have their skin 
A Sallade [sic] which the Poor alas
Make window of instead of Glafs [sic]
What one Pythagoras forbad
Of what made half a country mad
And at the bottom table 
My Sweethearts leg if I am able 
IÕll add the Place mans but reward
And seasoning by the sun preparÕd
If you can guefs [sic] from hints like these
Your fare take part of when you please",,UCLA Clark
3,,Charles Crinkum,,y,1772,,1772,England,,UCLA Clark,Charles Crinkum,,,,"London, England",,BOF_4,,,,,NO TITLE,,,"The title those doves, which (as poets declare)
Drew the chariot of Venus, do commonly bear ; 
TossÕd up in a high seasonÕd soup may be seen, 
If you move off the lid of that coverÕd tureen. 

Of Denmarks famÕd Prince take at least the full half, 
And match it along with the joint of the calf, 
YouÕll then meet with food that your stomach may suit, 
So take knife and fork, with freedom fall toÕt. 

The engine of mischief, with dug of a cow, 
And taylorÕs delight, are delicious you know. 

Some one hundred thousands weÕll mix, and well bake, 
And furnish a pudding which few will forsake. 


Second Course.
A priest of the Jews, with the first and the last 
Of Thomas, or Titus, will mend this repast. 

Well roasted, behold the Grand SeigniorÕs domain! 
AdornÕd like Lord Mayor with a mighty fine chain!
Made of sauce, and some periods descriptive of time, 
To make up a dish most undoubtedly prime. 

A breakfast, conjoinÕd to a letter in love, 
If properly dressÕd will agreeable prove. 

What ships are composÕd of, and PeterÕs rebuke, 
Make a dainty oft found in the dish of a Duke. 

A late SpeakerÕs name, with three-fourths of a bard, 
Will give what I think is well worth your regard. 

A thing of no moment, -- and what Students wear, 
Conclude this division of your bill of fare. 

                               Desert. 
What stops up our streams, and imprisons our tides 
When winter, that stern, rigid tyrant presides ; 
With what ever fixes the worth of a jest 
Supply a dish suited to every guest. 

All that month, but one letter, whose prolific showÕrs
Are said to produce an abundance of flowÕrs ; 
With some little mansions where poverty dwells, 
Afford you a fruit which in flavor excells. 

What the sorrowful do, and that delusive bait
By which our first parents determinÕd our fate. 

To me add half London, and then youÕll produce
A fruit full of flavor, and excellent juice. 

Impertinent fellowsÑand what have no peer ; 
A mark on the cards, and those things which the fair 
In dressing must fix almost every where. 


The name which (covered by someoneÕs finger) has been often applyÕd
Makes all we at (covered by finger) time to provide ; 
Our liquors excepted, which soon to your view, 
On side-board arrangÕd all in order weÕll shew. 

Liquors.
An Irish Viscount, with the last of his name 
Before to that mark of distinction he came. 

A hill of great height, and an elegant dress
In which ladies often their fancy express. 

The life of the show(made sifting of flowÕr,
With what all must do) not too sweet, nor too sour. 

What Samson was callÕd, an insect whose care
To man is a lesson- to which add an R. 
Next say how diminutive things are describÕd, 
And take all but what we to Samson ascribÕd.

The gesture of man, or of ships the resort:
What we always have, and yet give nothing forÕt. 

What all things have been, and the personal I, 
Adding one-half rare, will compleat this supply. 

The Prince of a See too, tossÕd up in a tankard, 
Will serve you at last when perhaps you have drank hard.

A SECOND
AENIGMATICAL ENTERTAINMENT.

The hinder part of a manÕs legs, with the whole of his upper part boilÕd; accompanied with the language of a lamb, and what a school boy is obliged to do with his lesson.

Two different sorts of the same species of fish joined Ð in a fruit pye.

What the head of a woman is seldom said not to have;
and what every bird is known to proceed from Ð in sauce.

The place where we are sometimes supposed to have a grumbling, metamorphosed into a celebrated Infernal.

What we are said to do when we separate, and the uppermost part of a house.

A false step, with the first or the last letter in eye.

The name of a worm, used to catch trouts, and two thirds of the modern Yorick.

LIQUORS.

Brandy ___? The Prince of the puppets made of a dwarf tree.

ale The highest note in the common scale of music reversÕd.

Water That without which no ship can possibly receive motion.

???? The name of one of the chaste SusannahÕs false accusers made into wine.

???? The first part of neglect, and we that are now present.

Mead The of a grass field. ",,UCLA Clark
4,,UCLA Clark,,y,Missing Exact Date,,1780,England,,UCLA Clark,Pleasing Variety for Miss Mary Arnold,,,,England,,BOF_5,,,,,A Dish of Friend ,,,"A Dish of Friend 

1st A Character in ye Beaux Stratagem 2nd A Couple 
3 A Domestic fowl and a Small Fruit 
4 French for Apple and A Red Stone 
5 A Citizens Wish, to Busy Bodies",,UCLA Clark
5,,UCLA Clark,,y,Missing Exact Date,,1780,England,,UCLA Clark,Pleasing Variety for Miss Mary Arnold,,,,England,,BOF_6,,,,,An Enigmatical Bill of Fare,,,"An Enigmatical Bill of Fare

First Course
Melancholy Soup w^h croaked Sarah| Roasted Furious|
Cutlets undrefsd| Pride reversÕd in a Pye| 
Ye Divine Part of a Man boiled| 
The Leg of a Coin cutter Boiled w^h Diamond Weights 

Second Course
VenusÕs Guides| A Dutch Prince in a Pudding| 
Part of Ye Lodiack butterÕd|
Ye first Temptation in a small Blast of Wind| 
Ye Grand Seignors Dominions Larded 

Desert 
Ye Lofs of a Wife and Ye gain of a Husband in Jettey| 
Sorrowful Apples w^h bad Wifes about them| 

Liquors 
A Mischievous Animal or Vowel and what is given to Physicians|
As Door Keeper| A Snare| A small Low Tree| Half a Large Glafs 

Sentimental Toasts
Faith in Friendship and in Love Succefs
Merit to win Ye Heart and Sense to keep it
Join in Friendship and Crown it w^h Love.",,UCLA Clark
6,,UCLA Clark,,y,Missing Exact Date,,1733,England,,UCLA Clark,Cookery Book,,,,England,,BOF_7,,,,,An Anigmatical Bill of Fare,,,"Left Page:

An 
Anigmatical Bill of Fare. First Course
		       an
		Melcholly Soop, with
		crook�d Sarah.
	          Removed for a Soldiers staff.
Roasted Furrows.				Cutlers undressÕd
		Pride reversÕd
		In a Pye[?].			            c
The Divine part of				    A Blokhead
a Man boilÕd 					          hashÕd.
		The Leg of a Corncutter
		boilÕd with Diamond
			Weights.
	          Second		         Course
		             VenusÕs guides.
A Dutch Prince in				An unruly Member garenishÕd[sic]
       a Pudding. 				with perpetual Motion.
             e               	Move Jack.
Part of y Z˜diack				The first Temptation in a
      ButterÕd				              small Blast of Wind.
			The Grand SigniorÕs[sic]
			Dominions Larded[?].

Right Page:
		Desert.
	
		The Loss of a Wife the
		Gain of Husband
		on jelly.
		             th
Cous[?] Provendes[?] w[with?]				Some Hundred
Half GoosberryÕs.				Thousands.
		Sorrowful Apples with
		bad wifes[sic] about them.
Bury bodies.					Couples.
		The Reward of a
		Soldier in Cream.

		Liquors.
The joke of a puppet show				A Bottle of Hill Top.	
	           th
	Made w Torture.			A Soldiers Habitation, with
a Bottle of Hyp.				       a Pretty Girl in it.
A Bottle of Bag.					A side Grace Ð Cup of la-
A Bottle of Torbay[?].					mentable Cloathing.",,UCLA Clark
7,,British Library Newspapers,,y,1891,,"November 28, 1891",England,,British Library,Ipswitch Journal,,,,"Ipswich, Suffolk, England",,Y3202620781,,,,,An Enigmatical Dinner,,,"The Divine part of mankind, Melancholy soup with crooked Sally in it, A lean wife roastod, and the rain of man for sauce, The Grand Siguior's dominions. 2. A large vessel, and to transgress, changing a letter, A thing of no consequence, A kitchen utensil-the foundation of learning and part of the foot, An ornamental part of the head, The fruit of Israel, garnished with perpetual motion, Crooked Sarah stewed, A sign of the Zodiac buttered, The fruit of temptation, and a small blast of wind, A Dutch prince sincere, The sixteenth letter and everyone, To fret and the truit of temptation, Married people, Musical instruments, Bunning streams, Several hundred thousand pounds, A domestic fowl, and the produce of hedges, The stalk of wheat and a wild fruit",,"""PRIZE PROBLEMS."" Ipswich Journal, 28 Nov. 1891. British Library Newspapers, https://link.galegroup.com/apps/doc/Y3202620781/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=80bbf6b6."
8,,The Making of the Modern World,,y,1850,,"January 1, 1850",England,,"Goldsmiths' Library of Economic Literature, Senate House Library, University of London",The Family Economist,,,,"London, England",,U0108582201,,,,,The Intellectual Feast,,,"THE INTELLECTUAL FEAST
F11ST COURSE.
The Divine part of a man?
Sauce of little creatures?
Imitation soup?
A lean wife?
Sauce of man's ruin?

SECOND COURSE.
The Grand Seignor's dominions?
Sauce of the staff of life?
A young simpleton?
Sauce of soft grease?
The most becoming head-dress?

DESSERT.
Food for the gods, with an outside skin?
An Interesting game, and food for squirrels?
To grieve, and the origin of grief?
A material part of a house, and what grows in the hedges?

WINES AND SPIRITS.
A high hill?
A cell?
The produce of a useful animal, and an amusing periodical?
A long tree?

On the Sides:
Left:
A foreign country?
An unruly member?
A well-powdered head?

Roots of Israel?
A thing of no consequence?
Stewed upstarts?

The first ruin of man?
A sincere Dutch Prince?
A stalk of wheat, with the autumnal beauty of the woods?

A province in France?
A sallorÕs wel-come prospect?
The capital of a foreign country?

Right:
Useful birds?
A female employment, and a constant follower of man?

A sign of the zodiac?
Some blasts of air?
Some sweet war-blors?

A stop in music, and wild birdÕs delight?
A foolish bird, with what grows in the hedges

A Portuguese Island?
A soldierÕs habitation?
Countorfeit[sic] agony?",,"The Family Economist. Vol. 1850, Groombridge & Sons, 1850. The Making of the Modern World, https://link.galegroup.com/apps/doc/U0108582201/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=ccb89c10."
9,,Eighteenth Century Collections Online,,y,1790,,1790,Ireland,,British Library,"The book of oddities: or, agreeable variety for town and country. 
Containing, an uncommon collection of the most curious stories, which 
may be valued for their Being Queer, Odd, Strange, Amazing, Whimsical, 
Comic, Absurd, Out O'Th'way, And Unaccountable. Designed To promote 
Mirth, and excite the Wonder and Astonishment of all the Sons and 
Daughters of Adam. The whole calculated to make the Countryman stare, 
the Citizen laugh, and the Courtier grin: Adapted both to the Sultry 
Days of Autumn, and the Gloomy Nights of Winter. By Sir Toby Broadgrin, 
Knt",,,Tony Broadgrin,"Dublin, Ireland",,CW0124558740,,,,,An Aenigmatical Representation of Real Entertainement,,,"An Aenigmatical representation of a real Entertainment.
FIRST COURSE.
Melancholy Soup with crooked Sarah.
Roasted Furrows. Cutlers undressÕd.
Pride reversed in a Pye.
The divine Part of a Man boiled. A Blockhead hashed.
The Leg of a Corn-cutter boiled, with Diamond Weights.

SECOND COURSE.
VenusÕs Guides.
A Dutch Prince in a Pudding. An unruly Member garnished with perpetual Motion.
Move Jack.
Part of the Zodiack buttered. The first Temptation in a small Blast of Wind.
The Grand SeignorÕs Dominions larded.

DESERT.
The Loss of a Wife and the Gain of a Husband, in Jelly.
CowÕs Provender with half Gooseberries. Some hundred Thousands.
Sorrowful Apples with bad Wives round them.
Busy Bodies. Couples.
The Reward of a Soldier in Cream.

LIQUORS.
The joke of a Pupper-Shew made with Torture. A Bottle of Hill-Top.
A Bottle of Hyp. A soldierÕs Habitation with a pretty Girl in it.
A Bottle of Bag. A Side Grace Cup, of lamentable Cloathing.
A Bottle of Torbay.

",,"Broadgrin, Toby. The book of 
oddities: or, agreeable variety for town and country. Containing, an 
uncommon collection of the most curious stories, which may be valued for
 their Being Queer, Odd, Strange, Amazing, Whimsical, Comic, Absurd, Out
 O'Th'way, And Unaccountable. Designed To promote Mirth, and excite the 
Wonder and Astonishment of all the Sons and Daughters of Adam. The whole
 calculated to make the Countryman stare, the Citizen laugh, and the 
Courtier grin: Adapted both to the Sultry Days of Autumn, and the Gloomy
 Nights of Winter. By Sir Toby Broadgrin, Knt. Printed by Peter Hoey, at the Mercury, (no. 33) Upper Ormond-Quay, 1790. Eighteenth Century Collections Online, https://link.galegroup.com/apps/doc/CW0124558740/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=51272518"
10,,Nineteenth Century U.S. Newspapers,,y,1895,,"November 10, 1895",America,,Tennessee State Library and Archives,Memphis Appeal,,,,"Memphis, Tennessee",,GT3016100102,,,,,A Free Dinner,,,"A Free Dinner.
General Passenger ,Agent Heafford of the Chicago, Milwaukee &. St. Paul Railway has issued a clever advertisement for his road in the shape of a bill of fare in enigma. To the first one who sends in to The Commercial Appeal the correct solution will be given a dinner at Gaston's Hotel. If a lady gets it a dinner will be given at Gaston's to her and also to her escort. The correct solution will be given next Sunday.
An enigmatical bill of fare for a dinner served on the dining ears of the Chicago, Milwaukee & St. Paul Railway: 
SOUPS.
Capital of Portugal. Imitation Reptile.
FISH
The Largest Part of Sambo's Feet.
What the Ram said to Harry.
An Express Label. 
GAME. 
A Universal Crown.
Portion of a Mountain Range.
A Tailor's Tool.
To Shrink from Danger.
Little Darlings.
ROAST MEATS.
A genial English Author.
The Country of the Crescent 
Adam's Wife in her Virgin State. 
BOILED MEATS. 
One of Noah's Sons. 
Woman's Best Weapon. 
VEGETAHBLES. 
To Steal Mildly. Complete Upsets. 
What Successful Candidates do this Fall. 
Two Kinds of Toes not found on Man or Beast. 
RELISHES. 
Pertaining to Regions Underground. 
Elevated Felines. Comical Performances. 
Ludicrous Situations. 
PUDDINGS. 
What we would say to Importunate Agents. 
Exactly Perpendicular. 
The Mantle of Winter. 
What we do not like to say to our Creditors. 
PIES. 
To Walk in an Affected Manner. 
Closely Related to the Rural Reservoir. 
FRUITS. 
The Historian's Delight. Water in Motion. 
Small Shot (plural.) Happy Lovers. 
WINES AND LIQUORS. 
The Lover's Address to his Sweetheart. 
The Traveler's Haven. A Couch of Death. 
The Briton's Address to his Queen. 
Pretended Agony.",,"Pretended Agony. ""A Free Dinner."" Memphis Appeal, 10 Nov. 1895, p. 5. Nineteenth Century U.S. Newspapers, https://link.galegroup.com/apps/doc/GT3016100102/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=758b256e"
11,,"Baldwin Library of Historical Children's Literature, George A. Smathers Libraries, University of Florida",,y,1895,,1895,America,,Nineteenth Century Collections Online,"Guess Me: A Curious Collection of Enigmas, Charades, Acting Charades, Double Acrostics, Conundrums, Verbal Puzzles, Hieroglyphics, Anagrams, etc.: Compiled and Arranged by Frederick d'Arros Planche; Illustrated by George Cruikshank and Others",,,Frederick d'Arros Planche,"London, England",,CKUEYG670970773,,,,,An Enigmatical Dinner,,,"XLV. AN ENIGMATICAL DINNER.
First Course: 
(1) A horseÕs toilet; 
(2) What furnishes the best conversation; 
(3) A stupid manÕs cry for mercy; 
(4) A street in Camden Town boiled, and something immaterial fried; 
(6) A pattern husband roast; 
(7) WomanÕs glory soup, removed for
(8) Short Sarah and her young brother;
(9) Some young females;
(10) Dialogue between the kettle and the cat;
(11) A tailorÕs weapon;
(12) Crooked Sally in a pet;
(13) WinterÕs sport and a weapon of war;
(14) removed for a dish which reminds a Cocknet of a carriage rut.
Second Course:
(15) Attendants on royalty;
(16) Practical jokes and cries;
(17) Something superior to undeserved commendation;
(18) Something hardly worth a thought;
(19) An old-fashioned dandy;
(20) Physic snappish;
(21) An eastern country stuffed and roasted.
Dessert:
(22) A mineral, and the best part of a jest;
(23) Nothing like them;
(24)  Dutch princes;
(25) What an informer does to his friends;
(26) Mischief-makers;
(27) Tens of Thousands
Wines:
(28) The Capital of Tuscany;
(29) Counterfeit agony;
(30) Dwelling of a recluse;
(31) SoldierÕs habitation;
(32) The attack of a town;
(33) A high hill;
(34) Station for ships;
(35) A French dukedom;
(36) Watery field;
(37) A season of wildness

Answer-
First Course: 1. Curry; 2. Tongue of brains; 3. Asparagus (O spare a goose!); 4. Spare rib and apple sauce; 5. Brill, plaice, and soles; 6. Lamb roasted; 7. Hare (hair) soup; 8. Sal-lad (salad); 9. Patties; 10. Bubble and squeak; 11. Goose; 12. Stewed celery. Sal-awry in a stew; 13. Skate and pike; 14. A loin of veal (line oÕ wheel).
Second Course: 15. Maids of Honour; 16. Larks and quails; 17. Pudding (ÒSolid pudding is better than empty praiseÓ); 18. Trifle; 19. Macaroni; 20. Rhubarb tart; 21. Turkey.
Dessert: 22. Ice cream; 23. Nonpareils; 24. Oranges; 25. Peaches; 26. Medlars; 27. Plums (100,000 British Pounds, so called).
Wines: 28. Florence; 29. Champagne; 30. Hermitage; 31. Tent; 32. Jack; 33. Mountain; 34. Port; 35. Burgundy; 36. Mead; 37. Madeira (Mad era).",,"Planche, Frederick d'Arros, editor. Guess
 Me: A Curious Collection of Enigmas, Charades, Acting Charades, Double 
Acrostics, Conundrums, Verbal Puzzles, Hieroglyphics, Anagrams, etc.: 
Compiled and Arranged by Frederick d'Arros Planche; Illustrated by 
George Cruikshank and Others. Illustrated by George Cruikshank, Dean and Son, [1895?]. Nineteenth Century Collections Online, https://link.galegroup.com/apps/doc/CKUEYG670970773/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=c67bae46."
12,,19th Century UK Periodicals,,y,1866,,"November 1, 1866",England,,British Library,Merry and Wise: A magazine for Young People.,,,,"London, England",,DX1901678851,,,,,A Puzzle Bill of Fare,,,"A Puzzle Bill of fare.
FIRST COURSE
The divine part of man fried.
Sauce-little creatures.
Imitative soup.
Sauce-man's ruin.
A lean wife roasted.
SECOND COURSE.
The Grand Seignior's dominions.
Sauce-the staff of life.
A blockhead hashed.
Sauce-soft grease.
The ornamental part of the head.
DESSERT.
The drink of the gods, with an outside skin.
Great riches-interferers.
An interesting game, and squirrel's food.
To grieve, and the origin of grief.
A substantial thing, with what grows in the woods.
Married folks--rapid stream. 
The 16th letter joined to every one.

Sides:
Left:
The first temptation.
A stop in music, with wild birdsÕ delight.
Stalks of wheat, with what is seen in the hedges.
Sweet warblers.
A thing of no consequence, what men often want.
A sign of the Zodiac.
A well-powdered head.
Useful birds.
A tailorÕs delight.

Right:
A foreign country.
An unruly member.
A female employment and ye constant follower of man.
The food of Israel.
Small blasts of wind. A fop roasted.
Upstarts stewed.
A silly bird, and the autumnal ornament of trees.
A sincere Dutch prince.
A musical instrument.",,"""A Puzzle Bill of Fare."" Merry and Wise: A magazine for Young People, 1 Nov. 1866, p. 616. 19th Century UK Periodicals, https://link.galegroup.com/apps/doc/DX1901678851/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=d6c38b9d"
13,,Nineteenth Century U.S. Newspapers,,y,1889,,"August 3, 1889",America,,Kansas State Historical Society,Atchison Globe,,,,"Atchison, Kansas",,GT3012297379,,,,,An Enigmatical Feast,,,1. What a gambler risks. 2. The cursed son. 3. An American general's and four- tenths of a British general's name. 4. The destroyer of our race. 5. A letter of the al- phabet. I Resting place for a bird. 7. An islaund 8. A color. 9. An emblem of inno- cence. 10. What a French town is noted for. 11. A tailor's implement. 13. A country.,,"""The Puzzler."" Atchison Globe, 3 Aug. 1889. Nineteenth Century U.S. Newspapers, https://link.galegroup.com/apps/doc/GT3012297379/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=da743be8. Accessed 13 Apr. 2019."
14,,17th and 18th Century Burney Collection,,y,1741,,1741,England,,British Library,Publick Register or The Weekly Magazine.,,,,,,Z2001239391,,,,,An Aenigmatical Representation of Real Entertainement,,,"An Aenigmatical Representation of a real Entertainment.
FIRST COURSE.
Melancholy Soup with crooked Sarah.
Remov'd for a Soldier's staff.
Roasted Furrows. Cutlets undressÕd.
Pride revers'd, in a Pye.
The divine Part of Man boilÕd. A Blockhead hashÕd.
The Leg of a Corncutter boil'd, with Diamond Weights. 
SECOND COURSE. 
Venus's Guides.
A Dutch Prince, in a Pudding. An unruly Member, garnish'd with perpetual Motion.
Move Jack. Part of the Zediac, butter'd. The first Temptation, in a small Blast of Wind.
The Grand Seignor's Dominions larded.
DESSERT.
 The loss of a Wife and the Gain of a Husband, in Jelly. 
Cow's Provender, with half Gooseberries. Some Hundred Thousands.
Sorrowful Apples, with bad Wives round them. 
Busy Bodies. Couples.
The Reward of a Soldier, in Cream. 
LIQUORS. 
The Joke of Puppet Shew, made with Torture, 
A Bottle of Hyp, A Bottle of Hiltop
A Bottle of Bag, A Soldier's Habitation, with a pretty Girl in it
A Bottle of Torbay, A Side Grace Cup, of lamentable Cloathing.",,"""Arts and Culture."" Publick Register or The Weekly Magazine, 1741. 17th and 18th Century Burney Collection, https://link.galegroup.com/apps/doc/Z2001239391/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=b0290c75"
15,,British Library Newspapers,,y,1840,,"January 27, 1840",England,,British Library,Hampshire/Portsmouth Telegraph,,,,"Portsmouth, Hampshire, England",,BB3206029243,,,,,An Intellectual Feast. A Riddle.,,,"AN INTELLECTUAL FEAST.
A Riddle.
FIRST COURSE.
The divine part of a man.
Sauce of little creatures.
Imitative soup.
Sauce of manÕs ruin.
A lean wife.
SECOND COURSE.
The Grand SeigniorÕs dominions.
Sauce of the staff of life.
A young simpleton.
Sauce of soft grease.
The ornamental part of a head.
DESERT[sic].
Food for the gods, with an outside skin.
An interesting game, and food for Squirrels.
To grieve, and the origin of grief.
A material part of a house, and what grows in the wood.
The sixteenth letter added to each.
WINES and SPIRITS.
A high hill.
A neighbouring state.
A cell.
The produce of an animal, with a merry Andrew.
A low tree.

Sides:
Left:
A foreign country.
An unruly member.
A well powdered head.
A root of Israel.
A thing of no consequence.
Stewed upstarts.
The first ruin of man.
A sincere Dutch Prince.
A stalk of wheat with the autumnal beauty of the woods.
A province in France.
A sailorÕs welcome prospect.
The capital of a foreign country.

Right:
A Portuguese Island.
A soldierÕs habitation.
Counterfeit Agony.
Musical Instruments.
A stop in music and wild birdÕs delight.
A foolish bird, with what grows in the hedges.
A sign of the Zodiac.
Some small blasts of air.
Some sweet warblers.
A TailorÕs delight.
Useful birds.
A female employment & a constant follower of man.",,"""AN INTELLECTUAL FEAST."" Hampshire/Portsmouth Telegraph, 27 Jan. 1840. British Library Newspapers, https://link.galegroup.com/apps/doc/BB3206029243/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=0a66434c."
16,,British Library Newspapers,,y,1853,,"January 1, 1853",England,,British Library,Ipswitch Journal,,,,"Ipswich, Suffolk, England",,BA3200055553,,,,,Bill of Fare (partial),,,"73. An unruly member.74. The ornamental part of the head. 75. Married couples. 76. To fret and Eve's teflptation. 72. Unreal agSony. 78.The qoldier's habitatiop., 79. The sailor's joy",,"""LEAVES FROM MY SCRAP BOOK."" Ipswich Journal, 1 Jan. 1853. British Library Newspapers, https://link.galegroup.com/apps/doc/BA3200055553/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=b0e33c64"
